lga_id,LGA,Dwellings Count
LGA214,Banana,7247
LGA215,Barcaldine,1896
LGA216,Barcoo,267
LGA217,Blackall Tambo,1152
LGA218,Boulia,307
LGA219,Brisbane,519431
LGA220,Bulloo,230
LGA221,Bundaberg,46081
LGA222,Burdekin,8259
LGA223,Burke,546
LGA224,Cairns,72620
LGA225,Carpentaria,1639
LGA226,Cassowary Coast,15123
LGA227,Central Highlands (Qld),14180
LGA228,Charters Towers,5974
LGA229,Cherbourg,332
LGA230,Cloncurry,2123
LGA231,Cook,3163
LGA232,Croydon,214
LGA233,Diamantina,228
LGA234,Doomadgee,376
LGA235,Douglas,6981
LGA236,Etheridge,750
LGA237,Flinders (Qld),992
LGA238,Fraser Coast,52621
LGA239,Gladstone,29868
LGA240,Gold Coast,270761
LGA241,Goondiwindi,4857
LGA242,Gympie,24767
LGA243,Hinchinbrook,6030
LGA244,Hope Vale,348
LGA245,Ipswich,87352
LGA246,Isaac,11014
LGA247,Kowanyama,308
LGA248,Livingstone,17841
LGA249,Lockhart River,228
LGA250,Lockyer Valley,16162
LGA251,Logan,125977
LGA252,Longreach,2169
LGA253,Mackay,52308
LGA254,McKinlay,497
LGA255,Mapoon,151
LGA256,Maranoa,6510
LGA257,Mareeba,10199
LGA258,Moreton Bay,188327
LGA259,Mornington,373
LGA260,Mount Isa,9053
LGA261,Murweh,2269
LGA262,Napranum,265
LGA263,Noosa,28715
LGA264,North Burnett,5494
LGA265,Northern Peninsula Area,1100
LGA266,Palm Island,562
LGA267,Paroo,1173
LGA268,Pormpuraaw,253
LGA269,Quilpie,507
LGA270,Redland,65216
LGA271,Richmond,438
LGA272,Rockhampton,35813
LGA273,Scenic Rim,18468
LGA274,Somerset,11020
LGA275,South Burnett,16096
LGA276,Southern Downs,17447
LGA277,Sunshine Coast,149005
LGA278,Tablelands,13184
LGA279,Toowoomba,74054
LGA280,Torres,1349
LGA281,Torres Strait Island,1357
LGA282,Townsville,83412
LGA283,Weipa,1839
LGA284,Western Downs,16165
LGA285,Whitsunday,18043
LGA286,Winton,872
LGA287,Woorabinda,316
LGA288,Wujal Wujal,93
LGA289,Yarrabah,524
LGA290,Migratory - Offshore - Shipping (Qld),98
LGA291,Adelaide,14766
LGA292,Adelaide Hills,16270
