location_id,lga_id,State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021
L247,LGA547,NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly
L248,LGA178,VIC,Inner Regional Australia,Shepparton,Moira
L249,LGA219,QLD,Major Cities of Australia,Brisbane - North,Brisbane
L250,LGA298,SA,Outer Regional Australia,South Australia - South East,Berri Barmera
L251,LGA180,VIC,Major Cities of Australia,Melbourne - Inner,Moonee Valley
L252,LGA542,NT,Outer Regional Australia,Darwin,Litchfield
L253,LGA156,VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong
L254,LGA154,VIC,Inner Regional Australia,Geelong,Golden Plains
L255,LGA279,QLD,Outer Regional Australia,Darling Downs - Maranoa,Toowoomba
L256,LGA180,VIC,Major Cities of Australia,Melbourne - North West,Moonee Valley
L257,LGA332,SA,Major Cities of Australia,Adelaide - South,Onkaparinga
L258,LGA57,NSW,Major Cities of Australia,Sydney - Inner West,Inner West
L259,LGA357,SA,Outer Regional Australia,South Australia - Outback,Whyalla
L260,LGA272,QLD,Outer Regional Australia,Central Queensland,Rockhampton
L261,LGA361,SA,Remote Australia,South Australia - Outback,Unincorporated SA
L262,LGA239,QLD,Inner Regional Australia,Central Queensland,Gladstone
L263,LGA263,QLD,Inner Regional Australia,Sunshine Coast,Noosa
L264,LGA260,QLD,Remote Australia,Queensland - Outback,Mount Isa
L265,LGA165,VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.)
L266,LGA279,QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba
L267,LGA172,VIC,Major Cities of Australia,Melbourne - West,Maribyrnong
L268,LGA322,SA,Major Cities of Australia,Adelaide - South,Marion
L269,LGA240,QLD,Inner Regional Australia,Gold Coast,Gold Coast
L270,LGA176,VIC,Outer Regional Australia,North West,Mildura
L271,LGA55,NSW,Inner Regional Australia,Sydney - North Sydney and Hornsby,Hornsby
L272,LGA171,VIC,Outer Regional Australia,Hume,Mansfield
L273,LGA228,QLD,Very Remote Australia,Townsville,Charters Towers
L274,LGA97,NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley
L275,LGA105,NSW,Inner Regional Australia,Sydney - Sutherland,Sutherland
L276,LGA75,NSW,Inner Regional Australia,Central West,Mid-Western Regional
L277,LGA163,VIC,Major Cities of Australia,Melbourne - North West,Hume
L278,LGA85,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle
L279,LGA531,TAS,Inner Regional Australia,Launceston and North East,West Tamar
L280,LGA152,VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira
L281,LGA277,QLD,Inner Regional Australia,Sunshine Coast,Sunshine Coast
L282,LGA187,VIC,Major Cities of Australia,Melbourne - North East,Nillumbik
L283,LGA209,VIC,Remote Australia,North West,Yarriambiack
L284,LGA190,VIC,Inner Regional Australia,Ballarat,Pyrenees
L285,LGA129,NSW,Remote Australia,Far West and Orana,Unincorporated
