location_id,lga_id,State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021
L531,LGA14,NSW,Remote Australia,Far West and Orana,Bogan
L532,LGA16,NSW,Very Remote Australia,Far West and Orana,Brewarrina
L533,LGA125,NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Wollondilly
L534,LGA540,NT,Very Remote Australia,Northern Territory - Outback,East Arnhem
L535,LGA338,SA,Remote Australia,South Australia - Outback,Port Lincoln
L536,LGA318,SA,Inner Regional Australia,Adelaide - North,Light
L537,LGA21,NSW,Major Cities of Australia,Sydney - South West,Camden
L538,LGA95,NSW,Outer Regional Australia,Capital Region,Queanbeyan-Palerang Regional
L539,LGA252,QLD,Very Remote Australia,Queensland - Outback,Longreach
L540,LGA73,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Maitland
L541,LGA146,VIC,Outer Regional Australia,Warrnambool and South West,Colac Otway
L542,LGA319,SA,Remote Australia,South Australia - Outback,Lower Eyre Peninsula
L543,LGA543,NT,Remote Australia,Northern Territory - Outback,MacDonnell
L544,LGA401,WA,Outer Regional Australia,Western Australia - Wheat Belt,Dandaragan
L545,LGA501,WA,Inner Regional Australia,Western Australia - Wheat Belt,York
L546,LGA470,WA,Major Cities of Australia,Perth - South West,Rockingham
L547,LGA466,WA,Outer Regional Australia,Western Australia - Wheat Belt,Plantagenet
L548,LGA434,WA,Major Cities of Australia,Perth - South West,Kwinana
L549,LGA453,WA,Inner Regional Australia,Mandurah,Murray
L550,LGA407,WA,Remote Australia,Western Australia - Wheat Belt,Dumbleyung
L551,LGA467,WA,Remote Australia,Western Australia - Outback (North),Port Hedland
L552,LGA32,NSW,Inner Regional Australia,Riverina,Coolamon
L553,LGA475,WA,Major Cities of Australia,Perth - North West,Stirling
L554,LGA342,SA,Outer Regional Australia,South Australia - South East,Robe
L555,LGA380,WA,Major Cities of Australia,Perth - Inner,Cambridge
L556,LGA477,WA,Major Cities of Australia,Perth - North East,Swan
L557,LGA488,WA,Major Cities of Australia,Perth - North West,Wanneroo
L558,LGA274,QLD,Inner Regional Australia,Moreton Bay - North,Somerset
L559,LGA381,WA,Major Cities of Australia,Perth - South East,Canning
L560,LGA97,NSW,Outer Regional Australia,Richmond - Tweed,Richmond Valley
L561,LGA417,WA,Major Cities of Australia,Perth - South East,Gosnells
L562,LGA110,NSW,Major Cities of Australia,Sydney - Ryde,The Hills
L563,LGA472,WA,Major Cities of Australia,Perth - South East,Serpentine-Jarrahdale
L564,LGA438,WA,Major Cities of Australia,Mandurah,Mandurah
L565,LGA345,SA,Outer Regional Australia,South Australia - South East,Southern Mallee
L566,LGA496,WA,Outer Regional Australia,Western Australia - Wheat Belt,Woodanilling
L567,LGA119,NSW,Outer Regional Australia,Central West,Warrumbungle
L568,LGA406,WA,Outer Regional Australia,Western Australia - Wheat Belt,Dowerin
L569,LGA425,WA,Outer Regional Australia,Western Australia - Outback (South),Kalgoorlie-Boulder
L570,LGA418,WA,Outer Regional Australia,Western Australia - Outback (South),Greater Geraldton
L571,LGA420,WA,Inner Regional Australia,Bunbury,Harvey
L572,LGA472,WA,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale
L573,LGA368,WA,Major Cities of Australia,Perth - North East,Bayswater
L574,LGA234,QLD,Very Remote Australia,Queensland - Outback,Doomadgee
L575,LGA232,QLD,Very Remote Australia,Queensland - Outback,Croydon
L576,LGA549,NT,Very Remote Australia,Northern Territory - Outback,West Arnhem
L577,LGA363,WA,Outer Regional Australia,Western Australia - Wheat Belt,Albany
L578,LGA507,TAS,Outer Regional Australia,South East,Central Highlands (Tas.)
L579,LGA72,NSW,Outer Regional Australia,Riverina,Lockhart
L580,LGA386,WA,Inner Regional Australia,Western Australia - Wheat Belt,Chittering
L581,LGA463,WA,Remote Australia,Western Australia - Outback (South),Perenjori
L582,LGA448,WA,Very Remote Australia,Western Australia - Outback (South),Mount Magnet
L583,LGA405,WA,Inner Regional Australia,Bunbury,Donnybrook-Balingup
L584,LGA30,NSW,Remote Australia,Far West and Orana,Cobar
L585,LGA244,QLD,Remote Australia,Queensland - Outback,Hope Vale
L586,LGA366,WA,Outer Regional Australia,Bunbury,Augusta Margaret River
L587,LGA485,WA,Major Cities of Australia,Perth - Inner,Vincent
L588,LGA492,WA,Outer Regional Australia,Western Australia - Wheat Belt,Wickepin
L589,LGA303,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys
L590,LGA199,VIC,Outer Regional Australia,Hume,Wangaratta
L591,LGA175,VIC,Major Cities of Australia,Melbourne - North West,Melton
L592,LGA389,WA,Major Cities of Australia,Perth - South West,Cockburn
L593,LGA425,WA,Very Remote Australia,Western Australia - Outback (South),Kalgoorlie-Boulder
L594,LGA483,WA,Major Cities of Australia,Perth - South East,Victoria Park
L595,LGA364,WA,Major Cities of Australia,Perth - South East,Armadale
L596,LGA378,WA,Inner Regional Australia,Bunbury,Bunbury
L597,LGA424,WA,Major Cities of Australia,Perth - South East,Kalamunda
L598,LGA414,WA,Inner Regional Australia,Western Australia - Wheat Belt,Gingin
L599,LGA445,WA,Remote Australia,Western Australia - Wheat Belt,Moora
L600,LGA464,WA,Major Cities of Australia,Perth - Inner,Perth
L601,LGA379,WA,Inner Regional Australia,Bunbury,Busselton
L602,LGA493,WA,Outer Regional Australia,Western Australia - Wheat Belt,Williams
L603,LGA366,WA,Inner Regional Australia,Bunbury,Augusta Margaret River
L604,LGA510,TAS,Outer Regional Australia,South East,Derwent Valley
L605,LGA269,QLD,Very Remote Australia,Queensland - Outback,Quilpie
L606,LGA430,WA,Outer Regional Australia,Western Australia - Wheat Belt,Kojonup
L607,LGA449,WA,Remote Australia,Western Australia - Wheat Belt,Mount Marshall
L608,LGA317,SA,Outer Regional Australia,South Australia - South East,Kingston (SA)
L609,LGA426,WA,Remote Australia,Western Australia - Outback (North),Karratha
L610,LGA307,SA,Very Remote Australia,South Australia - Outback,Elliston
L611,LGA392,WA,Very Remote Australia,Western Australia - Outback (South),Coolgardie
L612,LGA467,WA,Very Remote Australia,Western Australia - Outback (North),Port Hedland
L613,LGA278,QLD,Remote Australia,Cairns,Tablelands
L614,LGA179,VIC,Major Cities of Australia,Melbourne - Inner South,Monash
L615,LGA404,WA,Very Remote Australia,Western Australia - Outback (North),Derby-West Kimberley
L616,LGA451,WA,Inner Regional Australia,Perth - North East,Mundaring
L617,LGA318,SA,Major Cities of Australia,Adelaide - North,Light
L618,LGA369,WA,Major Cities of Australia,Perth - South East,Belmont
L619,LGA461,WA,Remote Australia,Western Australia - Wheat Belt,Nungarin
L620,LGA137,VIC,Major Cities of Australia,Melbourne - Inner South,Bayside (Vic.)
L621,LGA459,WA,Inner Regional Australia,Western Australia - Wheat Belt,Northam
L622,LGA441,WA,Major Cities of Australia,Perth - South West,Melville
L623,LGA367,WA,Major Cities of Australia,Perth - North East,Bassendean
L624,LGA500,WA,Remote Australia,Western Australia - Wheat Belt,Yilgarn
L625,LGA375,WA,Very Remote Australia,Western Australia - Outback (North),Broome
L626,LGA385,WA,Remote Australia,Western Australia - Outback (South),Chapman Valley
L627,LGA114,NSW,Outer Regional Australia,New England and North West,Uralla
L628,LGA376,WA,Outer Regional Australia,Western Australia - Wheat Belt,Broomehill-Tambellup
L629,LGA440,WA,Very Remote Australia,Western Australia - Outback (South),Meekatharra
L630,LGA411,WA,Remote Australia,Western Australia - Outback (South),Esperance
L631,LGA277,QLD,Inner Regional Australia,Moreton Bay - North,Sunshine Coast
L632,LGA382,WA,Inner Regional Australia,Bunbury,Capel
L633,LGA408,WA,Very Remote Australia,Western Australia - Outback (South),Dundas
L634,LGA42,NSW,Outer Regional Australia,Riverina,Federation
L635,LGA198,VIC,Inner Regional Australia,Hume,Towong
L636,LGA435,WA,Very Remote Australia,Western Australia - Wheat Belt,Lake Grace
L637,LGA402,WA,Inner Regional Australia,Bunbury,Dardanup
L638,LGA431,WA,Very Remote Australia,Western Australia - Wheat Belt,Kondinin
L639,LGA429,WA,Remote Australia,Western Australia - Wheat Belt,Kent
L640,LGA23,NSW,Major Cities of Australia,Sydney - Inner West,Canada Bay
L641,LGA486,WA,Outer Regional Australia,Western Australia - Wheat Belt,Wagin
L642,LGA439,WA,Outer Regional Australia,Bunbury,Manjimup
L643,LGA41,NSW,Major Cities of Australia,Sydney - Parramatta,Fairfield
L644,LGA453,WA,Major Cities of Australia,Mandurah,Murray
L645,LGA403,WA,Outer Regional Australia,Western Australia - Wheat Belt,Denmark
L646,LGA101,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton
L647,LGA214,QLD,Remote Australia,Central Queensland,Banana
L648,LGA371,WA,Inner Regional Australia,Western Australia - Wheat Belt,Boddington
L649,LGA377,WA,Remote Australia,Western Australia - Wheat Belt,Bruce Rock
L650,LGA477,WA,Inner Regional Australia,Perth - North East,Swan
L651,LGA433,WA,Remote Australia,Western Australia - Wheat Belt,Kulin
L652,LGA397,WA,Outer Regional Australia,Western Australia - Wheat Belt,Cuballing
L653,LGA38,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Dungog
L654,LGA384,WA,Very Remote Australia,Western Australia - Outback (South),Carnarvon
L655,LGA160,VIC,Outer Regional Australia,North West,Hindmarsh
L656,LGA498,WA,Very Remote Australia,Western Australia - Outback (North),Wyndham-East Kimberley
L657,LGA370,WA,Outer Regional Australia,Western Australia - Wheat Belt,Beverley
L658,LGA469,WA,Very Remote Australia,Western Australia - Outback (South),Ravensthorpe
L659,LGA423,WA,Major Cities of Australia,Perth - North West,Joondalup
L660,LGA260,QLD,Very Remote Australia,Queensland - Outback,Mount Isa
L661,LGA181,VIC,Major Cities of Australia,Melbourne - West,Moorabool
L662,LGA305,SA,Very Remote Australia,South Australia - Outback,Coober Pedy
L663,LGA227,QLD,Very Remote Australia,Central Queensland,Central Highlands (Qld)
L664,LGA400,WA,Remote Australia,Western Australia - Wheat Belt,Dalwallinu
L665,LGA415,WA,Remote Australia,Western Australia - Wheat Belt,Gnowangerup
L666,LGA59,NSW,Outer Regional Australia,Riverina,Junee
L667,LGA168,VIC,Inner Regional Australia,Ballarat,Loddon
L668,LGA0,TAS,Unknown,Unknown,Unknown
L669,LGA47,NSW,Outer Regional Australia,Capital Region,Goulburn Mulwaree
L670,LGA311,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Goyder
L671,LGA495,WA,Remote Australia,Western Australia - Wheat Belt,Wongan-Ballidu
L672,LGA391,WA,Inner Regional Australia,Bunbury,Collie
L673,LGA364,WA,Inner Regional Australia,Perth - South East,Armadale
L674,LGA34,NSW,Outer Regional Australia,Riverina,Cootamundra-Gundagai
L675,LGA488,WA,Inner Regional Australia,Perth - North West,Wanneroo
L676,LGA410,WA,Very Remote Australia,Western Australia - Outback (North),East Pilbara
L677,LGA442,WA,Very Remote Australia,Western Australia - Outback (South),Menzies
L678,LGA419,WA,Very Remote Australia,Western Australia - Outback (North),Halls Creek
L679,LGA421,WA,Outer Regional Australia,Western Australia - Outback (South),Irwin
L680,LGA117,NSW,Very Remote Australia,Far West and Orana,Walgett
L681,LGA289,QLD,Outer Regional Australia,Cairns,Yarrabah
L682,LGA465,WA,Outer Regional Australia,Western Australia - Wheat Belt,Pingelly
L683,LGA82,NSW,Remote Australia,New England and North West,Narrabri
L684,LGA375,WA,Remote Australia,Western Australia - Outback (North),Broome
L685,LGA431,WA,Remote Australia,Western Australia - Wheat Belt,Kondinin
L686,LGA398,WA,Very Remote Australia,Western Australia - Outback (South),Cue
L687,LGA53,NSW,Outer Regional Australia,Murray,Hay
L688,LGA125,NSW,Major Cities of Australia,Sydney - Outer South West,Wollondilly
L689,LGA238,QLD,Remote Australia,Wide Bay,Fraser Coast
L690,LGA468,WA,Outer Regional Australia,Western Australia - Wheat Belt,Quairading
L691,LGA96,NSW,Major Cities of Australia,Sydney - City and Inner South,Randwick
L692,LGA451,WA,Major Cities of Australia,Perth - North East,Mundaring
L693,LGA259,QLD,Very Remote Australia,Queensland - Outback,Mornington
L694,LGA487,WA,Outer Regional Australia,Western Australia - Wheat Belt,Wandering
L695,LGA454,WA,Outer Regional Australia,Bunbury,Nannup
L696,LGA17,NSW,Outer Regional Australia,Far West and Orana,Broken Hill
L697,LGA458,WA,Very Remote Australia,Western Australia - Outback (South),Ngaanyatjarraku
L698,LGA219,QLD,Inner Regional Australia,Brisbane - West,Brisbane
L699,LGA394,WA,Remote Australia,Western Australia - Wheat Belt,Corrigin
L700,LGA295,SA,Very Remote Australia,South Australia - Outback,Anangu Pitjantjatjara Yunkunytjatjara
L701,LGA413,WA,Major Cities of Australia,Perth - South West,Fremantle
L702,LGA480,WA,Inner Regional Australia,Western Australia - Wheat Belt,Toodyay
L703,LGA346,SA,Very Remote Australia,South Australia - Outback,Streaky Bay
L704,LGA193,VIC,Inner Regional Australia,Warrnambool and South West,Southern Grampians
L705,LGA484,WA,Outer Regional Australia,Western Australia - Wheat Belt,Victoria Plains
L706,LGA460,WA,Remote Australia,Western Australia - Outback (South),Northampton
L707,LGA373,WA,Outer Regional Australia,Bunbury,Bridgetown-Greenbushes
L708,LGA316,SA,Remote Australia,South Australia - Outback,Kimba
L709,LGA427,WA,Outer Regional Australia,Western Australia - Wheat Belt,Katanning
L710,LGA422,WA,Remote Australia,Western Australia - Wheat Belt,Jerramungup
L711,LGA383,WA,Remote Australia,Western Australia - Outback (South),Carnamah
L712,LGA81,NSW,Inner Regional Australia,Mid North Coast,Nambucca
L713,LGA365,WA,Very Remote Australia,Western Australia - Outback (North),Ashburton
L714,LGA490,WA,Outer Regional Australia,Western Australia - Wheat Belt,West Arthur
L715,LGA34,NSW,Inner Regional Australia,Riverina,Cootamundra-Gundagai
L716,LGA326,SA,Outer Regional Australia,South Australia - South East,Mount Gambier
L717,LGA474,WA,Major Cities of Australia,Perth - South East,South Perth
L718,LGA374,WA,Outer Regional Australia,Western Australia - Wheat Belt,Brookton
L719,LGA223,QLD,Very Remote Australia,Queensland - Outback,Burke
L720,LGA457,WA,Major Cities of Australia,Perth - Inner,Nedlands
L721,LGA414,WA,Outer Regional Australia,Western Australia - Wheat Belt,Gingin
L722,LGA475,WA,Major Cities of Australia,Perth - Inner,Stirling
L723,LGA309,SA,Remote Australia,South Australia - Outback,Franklin Harbour
L724,LGA87,NSW,Inner Regional Australia,Sydney - Northern Beaches,Northern Beaches
L725,LGA349,SA,Inner Regional Australia,South Australia - South East,Coorong
L726,LGA489,WA,Inner Regional Australia,Bunbury,Waroona
L727,LGA399,WA,Outer Regional Australia,Western Australia - Wheat Belt,Cunderdin
L728,LGA418,WA,Remote Australia,Western Australia - Outback (South),Greater Geraldton
L729,LGA435,WA,Remote Australia,Western Australia - Wheat Belt,Lake Grace
L730,LGA61,NSW,Major Cities of Australia,Illawarra,Kiama
L731,LGA88,NSW,Inner Regional Australia,Central West,Oberon
L732,LGA396,WA,Outer Regional Australia,Western Australia - Wheat Belt,Cranbrook
L733,LGA503,TAS,Remote Australia,Launceston and North East,Break O'Day
L734,LGA547,NT,Remote Australia,Northern Territory - Outback,Victoria Daly
L735,LGA79,NSW,Outer Regional Australia,Murray,Murrumbidgee
L736,LGA106,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Sydney
L737,LGA385,WA,Outer Regional Australia,Western Australia - Outback (South),Chapman Valley
L738,LGA317,SA,Remote Australia,South Australia - South East,Kingston (SA)
L739,LGA438,WA,Inner Regional Australia,Mandurah,Mandurah
L740,LGA424,WA,Inner Regional Australia,Perth - South East,Kalamunda
L741,LGA428,WA,Outer Regional Australia,Western Australia - Wheat Belt,Kellerberrin
L742,LGA424,WA,Inner Regional Australia,Perth - North East,Kalamunda
L743,LGA213,QLD,Very Remote Australia,Darling Downs - Maranoa,Balonne
L744,LGA78,NSW,Remote Australia,Murray,Murray River
L745,LGA132,VIC,Inner Regional Australia,Ballarat,Ararat
L746,LGA548,NT,Remote Australia,Northern Territory - Outback,Wagait
L747,LGA283,QLD,Very Remote Australia,Queensland - Outback,Weipa
L748,LGA206,VIC,Inner Regional Australia,Melbourne - West,Wyndham
L749,LGA296,SA,Major Cities of Australia,Adelaide - North,Barossa
L750,LGA190,VIC,Outer Regional Australia,Ballarat,Pyrenees
L751,LGA268,QLD,Very Remote Australia,Queensland - Outback,Pormpuraaw
L752,LGA495,WA,Outer Regional Australia,Western Australia - Wheat Belt,Wongan-Ballidu
L753,LGA426,WA,Very Remote Australia,Western Australia - Outback (North),Karratha
L754,LGA15,NSW,Very Remote Australia,Far West and Orana,Bourke
L755,LGA453,WA,Inner Regional Australia,Western Australia - Wheat Belt,Murray
L756,LGA5,NSW,Outer Regional Australia,Central West,Bathurst Regional
L757,LGA270,QLD,Remote Australia,Brisbane - East,Redland
L758,LGA445,WA,Outer Regional Australia,Western Australia - Wheat Belt,Moora
L759,LGA97,NSW,Outer Regional Australia,Coffs Harbour - Grafton,Richmond Valley
L760,LGA112,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Upper Hunter
L761,LGA210,VIC,Outer Regional Australia,Hume,Unincorporated Vic
L762,LGA175,VIC,Inner Regional Australia,Melbourne - West,Melton
L763,LGA158,VIC,Inner Regional Australia,Hume,Greater Shepparton
L764,LGA38,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Dungog
L765,LGA386,WA,Outer Regional Australia,Western Australia - Wheat Belt,Chittering
L766,LGA266,QLD,Remote Australia,Townsville,Palm Island
L767,LGA550,NT,Very Remote Australia,Northern Territory - Outback,West Daly
L768,LGA447,WA,Major Cities of Australia,Perth - Inner,Mosman Park
L769,LGA456,WA,Outer Regional Australia,Western Australia - Wheat Belt,Narrogin
L770,LGA443,WA,Remote Australia,Western Australia - Wheat Belt,Merredin
L771,LGA551,NT,Very Remote Australia,Northern Territory - Outback,Unincorporated NT
L772,LGA491,WA,Remote Australia,Western Australia - Wheat Belt,Westonia
L773,LGA446,WA,Remote Australia,Western Australia - Outback (South),Morawa
L774,LGA388,WA,Major Cities of Australia,Perth - Inner,Claremont
L775,LGA444,WA,Outer Regional Australia,Western Australia - Outback (South),Mingenew
L776,LGA443,WA,Outer Regional Australia,Western Australia - Wheat Belt,Merredin
L777,LGA238,QLD,Outer Regional Australia,Wide Bay,Fraser Coast
L778,LGA0,QLD,Unknown,Unknown,Unknown
L779,LGA110,NSW,Major Cities of Australia,Sydney - Parramatta,The Hills
L780,LGA70,NSW,Inner Regional Australia,Sydney - South West,Liverpool
L781,LGA371,WA,Outer Regional Australia,Western Australia - Wheat Belt,Boddington
L782,LGA360,SA,Remote Australia,Barossa - Yorke - Mid North,Yorke Peninsula
L783,LGA416,WA,Outer Regional Australia,Western Australia - Wheat Belt,Goomalling
L784,LGA476,WA,Major Cities of Australia,Perth - Inner,Subiaco
L785,LGA481,WA,Remote Australia,Western Australia - Wheat Belt,Trayning
L786,LGA439,WA,Remote Australia,Bunbury,Manjimup
L787,LGA208,VIC,Inner Regional Australia,Hume,Yarra Ranges
L788,LGA411,WA,Very Remote Australia,Western Australia - Outback (South),Esperance
L789,LGA309,SA,Outer Regional Australia,South Australia - Outback,Franklin Harbour
L790,LGA550,NT,Remote Australia,Northern Territory - Outback,West Daly
L791,LGA473,WA,Very Remote Australia,Western Australia - Outback (South),Shark Bay
L792,LGA412,WA,Very Remote Australia,Western Australia - Outback (South),Exmouth
L793,LGA132,VIC,Outer Regional Australia,Ballarat,Ararat
L794,LGA471,WA,Very Remote Australia,Western Australia - Outback (South),Sandstone
L795,LGA196,VIC,Inner Regional Australia,Warrnambool and South West,Surf Coast
L796,LGA0,NSW,Unknown,Unknown,Unknown
L797,LGA415,WA,Outer Regional Australia,Western Australia - Wheat Belt,Gnowangerup
L798,LGA372,WA,Outer Regional Australia,Bunbury,Boyup Brook
L799,LGA395,WA,Major Cities of Australia,Perth - Inner,Cottesloe
L800,LGA492,WA,Remote Australia,Western Australia - Wheat Belt,Wickepin
L801,LGA437,WA,Very Remote Australia,Western Australia - Outback (South),Leonora
L802,LGA0,SA,Unknown,Unknown,Unknown
